question_content,answer_content,box_number,last_reviewed
"Quelle est la capitale de la France?","Paris",1,2023-05-01
"Combien de continents y a-t-il sur Terre?","7",2,2025-04-24
"Qui a peint la Joconde?","Léonard de Vinci",1,2025-04-24
"Quelle est la formule chimique de l'eau?","H₂O",3,2025-04-24
"En quelle année a eu lieu la Révolution française?","1789",3,2025-04-24
"Quel est le plus grand mammifère terrestre?","L'éléphant d'Afrique",3,2025-04-24
"Quelle planète est surnommée la "Planète Rouge"?","Mars",1,2025-04-24
"Qui a écrit "Les Misérables"?","Victor Hugo",4,2025-04-24
"Quelle est la vitesse de la lumière dans le vide?","299 792 458 m/s",5,2025-04-24
"Quel est le symbole chimique de l'or?","Au",5,2025-04-24
"Quelle est la plus grande religion du monde en nombre d'adeptes?","Christianisme",5,2025-04-24
"images_questions/math_question.png","42",1,2023-05-12
"Quel animal est représenté sur cette image?","|images_reponses/2017_05_10_10_49_37_1494406177_R.jpg",1,2025-04-24
"Cette image|images_questions/2019_05_10_23_41_890681_Q_D17000100122974.jpg","Napoléon Bonaparte",3,2023-05-14
